"state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000","municode","vote_share_2000","codes","margin_2000"
"PB",1,11.6084,"MARCIO ROBERTO DA SILVA",6908,"PMDB","21792-marcio roberto da silva",1,1,"SAO BENTO",57.063,"PB_SAO BENTO",14.126
"PB",0,-1.841,"JOSE MILTON RODRIGUES COURA",2346,"PSDB","21857-jose milton rodrigues coura",1,0,"SAO JOSE DA LAGOA TAPADA",38.353,"PB_SAO JOSE DA LAGOA TAPADA",-22.074
"PB",1,7.35484,"FRANCISCO MARCILIO FERNANDES LOPES",1664,"PMDB","21873-francisco marcilio fernandes lopes",1,0,"SAO JOSE DE CAIANA",43.787,"PB_SAO JOSE DE CAIANA",-12.426
"PB",0,-2.43586,"RENE TRIGUEIRO CAROCA",1502,"PSDB","21890-rene trigueiro caroca",1,1,"SAO JOSE DE ESPINHARAS",66.962,"PB_SAO JOSE DE ESPINHARAS",33.924
"PB",1,2.43586,"JOSE DE SOUSA GOMES",1577,"PFL","21890-jose de sousa gomes",1,0,"SAO JOSE DE ESPINHARAS",33.038,"PB_SAO JOSE DE ESPINHARAS",-33.924
"PB",1,19.3133,"JOAQUIM LACERDA NETO",5421,"PFL","21911-joaquim lacerda neto",1,0,"SAO JOSE DE PIRANHAS",21.498,"PB_SAO JOSE DE PIRANHAS",-57.004
"PB",1,0.990826,"MANOEL DOMICIANO DANTAS",1376,"PMDB","21954-manoel domiciano dantas",1,1,"SAO JOSE DO SABUGI",100,"PB_SAO JOSE DO SABUGI",NA
"PB",1,28.8672,"FRANCISCO DAS CHAGAS LOPES DE SOUSA",3174,"PFL","21997-francisco das chagas lopes de sousa",1,1,"SAO MAMEDE",100,"PB_SAO MAMEDE",NA
"PB",1,36.3298,"JOAQUIM GILBERTO SOARES",2017,"PSDB","22012-joaquim gilberto soares",1,1,"SAO MIGUEL DE TAIPU",61.898,"PB_SAO MIGUEL DE TAIPU",23.796
"PB",1,21.4652,"ANTONIO PEDRO DOS SANTOS",3200,"PMDB","22039-antonio pedro dos santos",1,1,"SAO SEB. DE LAGOA DE ROCA",56.721,"PB_SAO SEB. DE LAGOA DE ROCA",17.597
"PB",1,13.9842,"MARIA DE FATIMA FERNANDES BATISTA",1080,"PMDB","22055-maria de fatima fernandes batista",1,1,NA,NA,NA,NA
"PB",1,13.2772,"JOAO CARNEIRO CARMELIO FILHO",10622,"PFL","22071-joao carneiro carmelio filho",1,0,"SAPE",2.989,"PB_SAPE",-32.488
"PB",1,6.68309,"EDUARDO JOSE TORREAO MOTA",3464,"PSDB","22110-eduardo jose torreao mota",1,1,"SERRA BRANCA",45.443,"PB_SERRA BRANCA",17.98
"PB",1,17.9342,"VIDAL ANTONIO DA SILVA",1039,"PMDB","22152-vidal antonio da silva",1,1,"SERRA GRANDE",56.806,"PB_SERRA GRANDE",13.612
"PB",1,41.6211,"GILBERTO CAVALCANTE DE FARIAS",2979,"PSDB","22179-gilberto cavalcante de farias",1,0,"SERRA REDONDA",48.664,"PB_SERRA REDONDA",-2.672
"PB",1,11.7014,"JOSE WALTER DE SOUSA CARVALHO",2544,"PMDB","22195-jose walter de sousa carvalho",1,0,"SERRARIA",40.354,"PB_SERRARIA",-19.292
"PB",1,11.3999,"ARNALDO VIANA DE ARAUJO",5614,"PMDB","22217-arnaldo viana de araujo",1,0,"SOLANEA",33.893,"PB_SOLANEA",-29.46
"PB",0,-5.84838,"LUIZA ANGELA DE ARAUJO E ARAUJO",3260,"PFL","22233-luiza angela de araujo e araujo",1,0,"SOLEDADE",42.942,"PB_SOLEDADE",-10.134
"PB",1,5.84838,"FERNANDO ARAUJO FILHO",3665,"PMDB","22233-fernando araujo filho",1,1,"SOLEDADE",53.076,"PB_SOLEDADE",10.134
"PB",0,-24.7018,"LUCIO AURELIO BRAGA MATOS",10858,"PMDB","22250-lucio aurelio braga matos",1,0,"SOUSA",24.322,"PB_SOUSA",-15.234
"PB",1,24.7018,"JOAO MARQUES ESTRELA E SILVA",17982,"PDT","22250-joao marques estrela e silva",1,1,"SOUSA",39.556,"PB_SOUSA",8.128
"PB",1,52.9103,"FRANCISCO DUARTE DA SILVA NETO",5832,"PFL","22276-francisco duarte da silva neto",1,1,NA,NA,NA,NA
"PB",1,7.3255,"JOSEMAR BELMONT",3106,"PDT","22292-josemar belmont",1,1,"CAMPO DE SANTANA",52.149,"PB_CAMPO DE SANTANA",4.298
"PB",0,-7.05487,"MANOEL LEITE DA SILVA",3320,"PMDB","22330-manoel leite da silva",1,0,"TAVARES",48.088,"PB_TAVARES",-3.824
"PB",1,7.05487,"TEREZINHA NOBREGA DE MORAIS",3824,"PFL","22330-terezinha nobrega de morais",1,1,"TAVARES",51.912,"PB_TAVARES",3.824
"PB",1,3.01602,"GERALDO NOGUEIRA DE ALMEIDA",4372,"PFL","22390-geraldo nogueira de almeida",1,0,"UIRAUNA",46.319,"PB_UIRAUNA",-7.36199999999999
"PB",1,11.9713,"CARLOS PESSOA NETO",3124,"PFL","22411-carlos pessoa neto",1,1,"UMBUZEIRO",55.374,"PB_UMBUZEIRO",10.748
"PE",1,5.85504,"JOSE PEREIRA NUNES",2052,"PSB","23000-jose pereira nunes",1,1,NA,NA,NA,NA
"PE",1,7.86951,"MARIA GIZELDA SIMOES INACIO",7820,"PPS","23019-maria gizelda simoes inacio",1,1,NA,NA,NA,NA
"PE",1,4.89929,"CLAUDIO RODRIGUES GALINDO",4036,"PFL","23035-claudio rodrigues galindo",1,0,"AFRANIO",43.034,"PE_AFRANIO",-13.932
"PE",1,23.8272,"JOSE BEZERRA DOS SANTOS",3339,"PDT","23043-jose bezerra dos santos",1,1,NA,NA,NA,NA
"PE",0,-1.67684,"JOSUE MENDES DA SILVA",5072,"PTB","23051-josue mendes da silva",1,1,NA,NA,NA,NA
"PE",1,69.7632,"MARCOS ANTONIO GONCALVES DE LIMA",3728,"PSB","23060-marcos antonio goncalves de lima",1,1,"XEXEU",75.74,"PE_XEXEU",52.071
"PE",1,2.20985,"EDUARDO PASSOS COUTINHO CORREA DE OLIVEIRA",5874,"PSB","23078-eduardo passos coutinho correa de oliveira",1,1,"AGUA PRETA",57.672,"PE_AGUA PRETA",20.431
"PE",1,11.722,"ANTONIO VALDI DE FRANCA SALES",2540,"PSB","23086-antonio valdi de franca sales",1,1,NA,NA,NA,NA
"PE",1,10.2621,"CLODOALDO BEZERRA JONATAS",6941,"PTB","23094-clodoaldo bezerra jonatas",1,0,"AGUAS BELAS",17.755,"PE_AGUAS BELAS",-31.62
"PE",1,21.6761,"JOSE DE JESUS NUNES GUIMARAES",3107,"PFL","23108-jose de jesus nunes guimaraes",1,1,"SANTA CRUZ",56.798,"PE_SANTA CRUZ",13.596
"PE",0,-5.58667,"WILTON CLEITON RIBEIRO CAVALCANTI",3287,"PSB","23116-wilton cleiton ribeiro cavalcanti",1,0,"ALAGOINHA",47.016,"PE_ALAGOINHA",-5.968
