"vote_gop","state_abb","income","mar_gay","gun_law"
1,"FL",3,0,0
0,"NY",4,1,0
1,"IL",4,1,0
1,"TX",1,0,0
0,"MA",3,0,0
0,"NY",2,0,0
0,"CO",1,0,0
0,"AR",2,0,0
0,"PA",3,0,0
0,"NC",3,0,0
1,"NJ",3,0,0
0,"NH",5,0,0
1,"MA",2,1,0
1,"MO",1,1,0
0,"CA",3,1,1
0,"VA",3,1,0
1,"TX",2,0,1
0,"KS",2,0,0
0,"AZ",2,0,0
0,"OH",2,0,0
0,"NJ",2,1,0
1,"TX",3,1,0
1,"VA",5,1,0
1,"CA",1,1,0
0,"FL",3,0,1
0,"FL",5,0,0
0,"CA",4,0,0
1,"TN",4,1,1
0,"MA",4,0,0
1,"GA",5,1,1
1,"TX",4,1,1
0,"KY",5,0,0
1,"CA",5,1,1
1,"CO",4,0,1
1,"OH",3,1,1
1,"PA",3,1,0
1,"OK",5,1,1
1,"MA",5,1,0
1,"FL",3,1,0
0,"CA",2,0,0
1,"KS",3,1,1
0,"NY",5,0,0
1,"PA",3,1,0
1,"GA",5,1,0
0,"WI",5,0,0
0,"NY",3,0,0
0,"FL",2,0,0
0,"PA",3,0,0
1,"VA",4,1,1
1,"TN",3,1,0
1,"CA",4,1,1
1,"NE",3,1,0
1,"AZ",3,1,0
1,"ME",5,1,0
1,"MI",3,1,0
0,"CO",3,0,0
1,"IL",5,0,0
0,"AZ",1,0,0
1,"NJ",3,1,0
1,"ME",1,0,1
0,"MI",3,0,0
1,"WA",2,1,1
1,"MO",1,1,0
1,"KS",1,1,0
1,"TX",2,1,0
1,"TX",5,1,1
0,"NY",2,0,0
0,"TX",4,1,0
1,"AK",5,1,1
1,"TN",3,1,0
1,"OH",3,0,0
1,"AZ",3,1,0
1,"IA",2,1,0
1,"FL",3,0,0
1,"TN",5,1,0
0,"CT",3,1,0
0,"IA",3,0,0
0,"OH",3,0,0
0,"AZ",3,0,0
0,"CT",4,0,0
0,"OR",1,0,0
